Date,1 USD to INR conversion rate
6/10/2021,74.7675
5/10/2021,74.5668
4/10/2021,74.5796
3/10/2021,74.1396
2/10/2021,74.1522
1/10/2021,74.145
30/09/2021,74.2236
29/09/2021,74.2857
28/09/2021,74.2071
27/09/2021,73.8327
26/09/2021,73.9504
25/09/2021,73.8131
24/09/2021,74.0486
23/09/2021,73.8438
22/09/2021,73.8697
21/09/2021,73.7948
20/09/2021,73.6203
19/09/2021,73.6834
18/09/2021,73.7014
17/09/2021,73.6977
16/09/2021,73.5687
15/09/2021,73.4679
14/09/2021,73.6349
13/09/2021,73.5654
12/09/2021,73.5292
11/09/2021,73.5261
10/09/2021,73.5261
09/09/2021,73.5319
08/09/2021,73.8139
07/09/2021,73.3876
06/09/2021,73.1071
05/09/2021,73.004
04/09/2021,72.9946
03/09/2021,72.9968
02/09/2021,73.0492
01/09/2021,72.9914
31/08/2021,72.9916
30/08/2021,73.3955
29/08/2021,73.4933
28/08/2021,73.4968
27/08/2021,73.4968
26/08/2021,74.1579
25/08/2021,74.1363
24/08/2021,74.1493
23/08/2021,74.104
22/08/2021,74.3297
21/08/2021,74.3054
20/08/2021,74.2994
19/08/2021,74.4198
18/08/2021,74.273
17/08/2021,74.3732
16/08/2021,74.1638
15/08/2021,74.2239
14/08/2021,74.2169
13/08/2021,74.217
12/08/2021,74.2663
11/08/2021,74.1296
10/08/2021,74.4342
09/08/2021,74.4654
08/08/2021,74.299
07/08/2021,74.2132
06/08/2021,74.242
05/08/2021,74.0566
04/08/2021,74.1992
03/08/2021,74.2144
02/08/2021,74.3507
01/08/2021,74.3864
31/07/2021,74.3793
30/07/2021,74.3793
29/07/2021,74.2468
28/07/2021,74.4524
27/07/2021,74.5378
26/07/2021,74.2838
25/07/2021,74.4323
24/07/2021,74.4408
23/07/2021,74.4273
22/07/2021,74.4613
21/07/2021,74.4401
20/07/2021,74.5245
19/07/2021,75.0007
18/07/2021,74.6062
17/07/2021,74.631
16/07/2021,74.9126
15/07/2021,74.5561
14/07/2021,74.4636
13/07/2021,74.6689
12/07/2021,74.5355
11/07/2021,74.4776
10/07/2021,74.488
09/07/2021,74.4917
08/07/2021,74.7379
07/07/2021,74.8159
06/07/2021,74.7744
05/07/2021,74.3231
04/07/2021,74.5011
03/07/2021,74.4803
02/07/2021,74.7551
01/07/2021,74.5622
30/06/2021,74.3716
29/06/2021,74.2824
28/06/2021,74.2802
27/06/2021,74.2044
26/06/2021,74.1838
25/06/2021,74.1838
24/06/2021,74.194
23/06/2021,74.2343
22/06/2021,74.3444
21/06/2021,74.1359
20/06/2021,74.1257
19/06/2021,74.1415
18/06/2021,74.1466
17/06/2021,74.246
16/06/2021,73.8401
15/06/2021,73.3504
14/06/2021,73.1827
13/06/2021,73.2449
12/06/2021,73.2344
11/06/2021,73.2318
10/06/2021,73.0123
09/06/2021,73.0011
08/06/2021,72.9789
07/06/2021,72.8013
06/06/2021,73.0047
05/06/2021,72.9083
04/06/2021,72.9083
03/06/2021,73.0408
02/06/2021,72.9597
01/06/2021,72.8572
31/05/2021,72.4898
30/05/2021,72.4047
29/05/2021,72.3962
28/05/2021,72.3962
27/05/2021,72.7058
26/05/2021,72.729
25/05/2021,72.8007
24/05/2021,72.8328
23/05/2021,72.9238
22/05/2021,72.918
21/05/2021,72.918
20/05/2021,73.029
19/05/2021,73.2299
18/05/2021,73.1458
17/05/2021,73.3355
16/05/2021,73.2813
15/05/2021,73.2796
14/05/2021,73.2796
13/05/2021,73.4537
12/05/2021,73.6958
11/05/2021,73.3647
10/05/2021,73.4925
09/05/2021,73.2573
08/05/2021,73.296
07/05/2021,73.2905
06/05/2021,73.6077
05/05/2021,73.7992
04/05/2021,73.7797
03/05/2021,73.8362
02/05/2021,74.1128
01/05/2021,74.0958
30/04/2021,74.0929
29/04/2021,74.0929
28/04/2021,74.3325
27/04/2021,74.5802
26/04/2021,74.8238
25/04/2021,74.9163
24/04/2021,74.8671
23/04/2021,74.8668
22/04/2021,75.0699
21/04/2021,75.4272
20/04/2021,75.4497
19/04/2021,74.8743
18/04/2021,74.5305
17/04/2021,74.5566
16/04/2021,74.5646
15/04/2021,74.7301
14/04/2021,75.0481
13/04/2021,75.1673
12/04/2021,74.99
11/04/2021,74.7395
10/04/2021,74.7324
09/04/2021,74.727
08/04/2021,74.5334
07/04/2021,74.4136
06/04/2021,73.5006
05/04/2021,73.2768
04/04/2021,73.3849
03/04/2021,73.3787
02/04/2021,73.378
01/04/2021,73.2821
31/03/2021,73.2065
30/03/2021,73.4087
29/03/2021,72.7416
28/03/2021,72.4904
27/03/2021,72.4473
26/03/2021,72.445
25/03/2021,72.6268
24/03/2021,72.6332
23/03/2021,72.6193
22/03/2021,72.3888
21/03/2021,72.4271
20/03/2021,72.442
19/03/2021,72.4416
18/03/2021,72.6615
17/03/2021,72.29
16/03/2021,72.5264
15/03/2021,72.5046
14/03/2021,72.6784
13/03/2021,72.6886
12/03/2021,72.6892
11/03/2021,72.648
10/03/2021,72.7126
09/03/2021,72.7798
08/03/2021,73.3522
07/03/2021,73.1782
06/03/2021,73.1826
05/03/2021,73.1826
04/03/2021,73.1149
03/03/2021,73.0197
02/03/2021,73.2672
01/03/2021,73.3125
28/02/2021,73.7169
27/02/2021,73.5964
26/02/2021,73.5954
25/02/2021,73.1691
24/02/2021,72.3332
23/02/2021,72.3787
22/02/2021,72.4453
21/02/2021,72.542
20/02/2021,72.573
19/02/2021,72.5539
18/02/2021,72.6137
17/02/2021,72.7479
16/02/2021,72.9634
15/02/2021,72.6434
14/02/2021,72.6021
13/02/2021,72.591
12/02/2021,72.5894
11/02/2021,72.7119
10/02/2021,72.8076
09/02/2021,72.8605
08/02/2021,72.9142
07/02/2021,72.7982
06/02/2021,72.7909
05/02/2021,72.7909
04/02/2021,72.9478
03/02/2021,72.818
02/02/2021,72.9421
01/02/2021,73.1299
31/01/2021,72.9211
30/01/2021,72.9094
29/01/2021,72.9086
28/01/2021,72.9652
27/01/2021,73.0227
26/01/2021,72.908
25/01/2021,72.9713
24/01/2021,72.9953
23/01/2021,72.9972
22/01/2021,72.9972
21/01/2021,72.9796
20/01/2021,72.9099
19/01/2021,73.1931
18/01/2021,73.1929
17/01/2021,73.179
16/01/2021,73.1278
15/01/2021,73.1617
14/01/2021,73.0912
13/01/2021,73.1593
12/01/2021,73.1379
11/01/2021,73.5122
10/01/2021,73.4053
09/01/2021,73.3811
08/01/2021,73.3792
07/01/2021,73.4552
06/01/2021,73.1501
05/01/2021,73.1258
04/01/2021,73.0741
03/01/2021,73.0795
02/01/2021,73.0923
01/01/2021,73.0941
31/12/2020,73.0574
30/12/2020,73.1842
29/12/2020,73.4404
28/12/2020,73.5476
27/12/2020,73.7262
26/12/2020,73.5569
25/12/2020,73.6639
24/12/2020,73.5581
23/12/2020,73.8255
22/12/2020,74.0614
21/12/2020,73.9396
20/12/2020,73.6173
